"weight_range_bottom","weight_range_top","score_median","score_p25","score_p75","Age","Education","Race","fake"
14,17,14.5,4.1,34.4,0,0,0,0
18,21,16.9,5.1,40.7,0,0,0,0
22,25,20.5,6.2,45.8,0,0,0,0
26,29,25.2,9.4,48.6,0,0,0,0
30,33,29,10.2,54.5,0,0,0,0
34,37,31.6,13,57.1,0,0,0,0
38,41,31.9,12.9,58,0,0,0,0
42,45,33.5,13.6,59.6,0,0,0,0
46,49,33.8,14,60.7,0,0,0,0
50,53,35.6,14.8,61.7,0,0,0,0
54,57,35.7,14.6,61.6,0,0,0,0
58,61,38.4,16.3,64.2,0,0,0,0
62,65,37.8,16.5,63.2,0,0,0,0
66,69,39.9,17.3,65.5,0,0,0,0
70,73,38.5,17.1,64.6,0,0,0,0
74,77,39.5,17.3,66.4,0,0,0,0
78,81,40.3,18.1,66.6,0,0,0,0
82,85,40.1,17.7,67,0,0,0,0
86,89,41.1,18.8,67.4,0,0,0,0
90,93,41.1,19.1,67.5,0,0,0,0
94,97,42.5,20,68.5,0,0,0,0
98,101,44.1,21,70,0,0,0,0
102,105,44.8,21.4,70.6,0,0,0,0
106,109,47.1,23,72.5,0,0,0,0
110,113,48.2,23.8,73.6,0,0,0,0
114,117,49.4,24.8,74.5,0,0,0,0
118,121,51.2,26.1,75.8,0,0,0,0
122,125,52,26.8,76.3,0,0,0,0
126,129,53.4,27.9,77.4,0,0,0,0
130,133,54.1,28.5,77.9,0,0,0,0
134,137,55.5,29.7,78.7,0,0,0,0
138,141,56,30.2,79.1,0,0,0,0
142,145,56.5,30.4,79.9,0,0,0,0
146,149,57.1,31.1,79.9,0,0,0,0
150,153,56.5,30.1,79.3,0,0,0,0
154,157,56.9,30.6,79.6,0,0,0,0
158,161,57.1,31,79.7,0,0,0,0
162,165,56.4,31.1,79.2,0,0,0,0
166,169,56.6,30.4,80,0,0,0,0
170,173,53.4,28.3,77.7,0,0,0,0
174,177,53.6,28.2,78.7,0,0,0,0
178,181,52.7,26.7,77.6,0,0,0,0
182,185,52.3,23.4,76.5,0,0,0,0
186,189,48.2,24.7,76.4,0,0,0,0
190,193,52,29.4,74.4,0,0,0,0
194,197,45.1,26.9,71.9,0,0,0,0
198,201,48.4,25.4,79.4,0,0,0,0
14,21,28.5,8.8,53,0,0,1,0
14,21,28.5,8.8,53,0,0,1,1
22,25,29.5,9.1,54.1,0,0,1,0
26,29,38.8,17.7,61.8,0,0,1,0
30,33,43.4,19.5,64.6,0,0,1,0
34,37,45.5,21.1,69.8,0,0,1,0
38,41,47.4,23.4,72.4,0,0,1,0
42,45,45.8,22.3,69,0,0,1,0
46,49,45.5,20.9,71.9,0,0,1,0
50,53,50,26.3,74.3,0,0,1,0
54,57,50,25.1,73.3,0,0,1,0
58,61,50.3,25.9,73.8,0,0,1,0
62,65,50.5,27.8,74.3,0,0,1,0
66,69,53.1,28.5,75.5,0,0,1,0
70,73,52.6,28.1,75.9,0,0,1,0
74,77,54,28.3,77.2,0,0,1,0
78,81,53.1,28.5,76,0,0,1,0
82,85,53.9,29.2,76.5,0,0,1,0
86,89,53.5,28.8,76.4,0,0,1,0
90,93,53.5,29.1,76.9,0,0,1,0
94,97,54.6,30.1,77.4,0,0,1,0
98,101,56,31,78.3,0,0,1,0
